BBL,BldgArea,Energy (kBtu)
1007790066,94914,5305692.6
1007800007,90174,10207696.8
1007800013,60397,11270080.2
1007800019,245542,3732238.4
1007800036,332383,17250677.7
1007800071,65977,3892643.0
1007819001,1048620,131601810.0
1007819002,1560607,132651595.0
1007830070,2689635,364176579.0
1007840041,491253,31587567.9
1007840051,84768,5009788.8
1007840060,143448,16898174.4
1007850001,243350,17521200.0
1007850007,114368,8017196.8
1007850011,132118,8072409.8
1007850015,95568,7244054.399999999
1007850018,144141,9052054.799999999
1007850029,163681,20116394.900000002
1007850037,189734,11744534.6
1007850041,84575,8745055.0
1007850067,152667,6992148.6
1007850075,81375,4744162.5
1007860001,754487,47457232.3
1007860023,130000,12324000.0
1007860042,88872,6078844.800000001
1007860051,842295,58455273.00000001
1007860064,83500,3231450.0000000005
1007860068,130766,6355227.600000001
1007860076,139629,4188870.0
1007870001,225858,21546853.200000003
1007870011,214130,14282471.0
1007870020,87802,2054566.7999999998
1007870023,64280,3946792.0
1007870040,606078,46304359.2
1007870044,553748,40700478.0
1007870059,137887,6866772.6
1007870070,66073,4274923.100000001
1007870072,96736,6529680.0
1007870076,95491,4755451.8
1007870084,272142,10205325.0
1007880004,72649,5986277.600000001
1007880011,146377,7567690.9
1007880019,130010,3705285.0
1007880037,144635,9936424.5
1007880056,180449,6153310.9
1007880064,59488,4253392.0
1007880066,81763,5502649.899999999
1007880078,154516,10738862.0
1007880086,121520,9162608.0
1007890009,177975,16622865.000000002
1007890014,108025,5736127.5
1007890021,218558,17397216.799999997
1007890027,88100,4783830.0
1007890030,229162,23328691.599999998
1007890036,225981,19095394.5
1007890052,146486,11865366.0
1007890062,137199,12526268.7
1007900001,371863,22869574.5
1007900028,55233,4396546.8
1007907502,343534,35933656.4
1007910001,126134,7719400.800000001
1007910013,56967,5343504.6
1007910036,195442,17687501.0
1007910078,62400,4555200.0
1007927504,56870,5226353.0
1007930001,53123,10173054.5
1007930022,53298,4194552.600000001
1007930067,64416,2203027.2
1007937505,108969,10134117.0
1007937506,47287,3002724.5
1007937507,94263,6051684.600000001
1007937508,56136,3688135.2
1007940017,52500,4221000.0
1007940025,228000,17191200.0
1007940030,134235,13933593.0
1007947501,90401,3426197.9
1007950014,68671,4010386.4
1007950028,165513,11139024.9
1007950037,76651,6339037.7
1007950044,149885,13594569.5
1007957501,120468,9071240.4
1007960001,62158,4214312.399999999
1007960007,57606,3416035.8
1007960058,51384,4275148.8
1007960060,77437,7960523.6
1007970018,115895,14324622.0
1007970037,237000,25122000.0
1007970054,89389,4853822.7
1007970070,73611,6036102.0
1007977501,65623,4580485.399999999
1007977502,54079,4785991.5
1007977507,61968,4337760.0
1007977508,55378,2309262.6
1007980071,127000,8597900.0
1007987502,109366,5347997.399999999
1007987505,43864,2180040.8000000003
1007987506,112400,7081200.0
1007987507,43238,2888298.4
1007990021,159606,14141091.6
1007990028,98800,15995720.0
1007990035,94835,2238106.0
1007990067,59508,6331651.2
1008000061,96000,6499200.0
1008000065,66528,4397500.8
1008000068,66115,3768555.0
1008000071,55916,5893546.4
1008007501,62582,6270716.4
1008007504,249981,16523744.099999998
1008010001,548680,57666268.0
1008010034,227896,20282744.0
1008010051,97005,4064509.5
1008010055,75888,7429435.2
1008010065,52543,2984442.4
1000110014,51387,4234288.800000001
1000110021,361710,20762154.0
1000130001,180646,10134240.6
1000130027,809401,53339525.900000006
1000150022,335746,27262575.2
1000157501,1202417,52184897.8
1000157502,179856,14586321.6
1000160120,1501878,166107706.79999998
1000160125,2267925,273511755.0
1000160150,2084079,172353333.3
1000160185,278142,28231413.0
1000160195,356483,38607108.9
1000160205,239185,25616713.5
1000160221,244617,21012600.3
1000160260,2152863,217654449.29999998
1000167501,179174,14190580.8
1000167502,123284,8716178.8
1000167503,86763,7426912.8
1000167504,72913,5599718.399999999
1000167505,203837,20974827.3
1000167506,81667,6402692.800000001
1008017501,80850,4244625.0
1008017502,53491,1647522.8
1008017503,68865,10501912.5
1008020008,179131,12360039.0
1008020019,58084,1481142.0
1008020022,92970,6312663.000000001
1008020026,64764,8743140.0
1008020031,53350,3505095.0
1008020049,65680,4702688.0
1008020052,50400,2948400.0
1008020056,117291,5301553.2
1008027501,66740,3477154.0
1008030004,197612,15058034.4
1008030007,115925,11835942.5
1008030016,54000,4282200.0
1008030018,84745,923720.5
1008030021,113129,12263183.600000001
1008030026,59440,2930392.0
1008037501,66868,7215057.2
1008037502,119248,9742561.6
1008040011,57906,4638270.6
1008040013,55392,4425820.800000001
1008040044,121579,14638111.600000001
1008040054,80122,8484919.8
1008040059,115991,5544369.8
1008040067,82454,7659976.600000001
1008040071,58764,3561098.4
1008050003,190325,8393332.5
1008050017,58292,3223547.5999999996
1008050019,70862,4676892.0
1008050022,85869,5916374.100000001
1008050094,216841,7741223.7
1008057501,111225,6128497.5
1008057502,598594,71112967.2
1008060001,83642,5779662.199999999
1008060006,85517,25047929.299999997
1008060009,87526,4542599.399999999
1008060013,121000,9147600.0
1008060026,151525,11849255.0
1008060058,384655,36657621.5
1008070001,1103075,92327377.5
1008070039,214349,12539416.5
1008077501,473783,31364434.6
1008077502,401085,27554539.5
1008080040,1105991,65032270.8
1008087501,1213324,130917659.60000001
1008090001,67114,13838906.799999999
1008090045,258412,17365286.400000002
1008090049,53115,3957067.5
1008090053,806417,49836570.599999994
1008097501,115607,13965325.6
1008100001,2192088,132621324.0
1008110001,408511,26308108.400000002
1008110016,91777,3276438.9000000004
